"","geo_label_city","geo_fips_code","COVID.19.Deaths","Diabetes.Deaths","Deaths.from.All.Causes","Life.Expectancy","Uninsured..All.Ages","Uninsured..Child","Dental.Care","Prenatal.Care","People.with.Disabilities","All.Cancer.Deaths","Breast.Cancer.Deaths","Lung.Cancer.Deaths","Cardiovascular.Disease.Deaths","Heart.Disease.Deaths","High.Blood.Pressure","Diabetes","Adult.Obesity","Adult.Physical.Inactivity","Flu.Vaccinations..Medicare","Pneumonia.or.Influenza.Deaths","New.Tuberculosis.Cases","HIV.Related.Deaths","HIV.AIDS.Prevalence","New.Chlamydia.Cases","Syphilis.Prevalence","Syphilis..Newborns","New.Gonorrhea.Cases","Maternal.Deaths","Infant.Deaths","Low.Birthweight","Teen.Births","Opioid.Overdose.Deaths","Adult.Binge.Drinking","Drug.Overdose.Deaths","Adult.Smoking","Adult.Mental.Distress","Suicide","Housing.Lead.Risk","Injury.Deaths","Gun.Deaths..Firearms.","Motor.Vehicle.Deaths","Police.Killings","Racial.Disparity.in.Police.Killings","Violent.Crime","Homicides","Vacant.Housing.Units","Owner.Occupied.Housing","Renters.vs..Owners","Preschool.Enrollment","College.Graduates","Poverty.in.All.Ages","Poverty.and.Near.Poverty.in.All.Ages","Poverty.in.Children","Per.capita.Household.Income","Households.with.Higher.Incomes","Public.Assistance","Unemployment","Service.Workers","Excessive.Housing.Cost","Household.Income.Inequality","Income.Inequality","Racial.Segregation..White.and.Non.White","Racial.Segregation..White.and.Black","Racial.Segregation..White.and.Asian","Racial.Segregation..White.and.Hispanic","Limited.Supermarket.Access","Walking.to.Work","Riding.Bike.to.Work","Lack.of.Car","Public.Transportation.Use","Drives.Alone.to.Work","Longer.Driving.Commute.Time","Poor.Air.Quality","Hazardous.Air.Quality","Single.Parent.Families","Population.Density","Children","Seniors","Minority.Population","Primarily.Speak.English","Primarily.Speak.Chinese","Primarily.Speak.Spanish","Foreign.Born.Population","Homelessness..Non.White","Homelessness..Children","Homelessness.and.Vacant.Housing","Colorectal.Cancer.Deaths","Prostate.Cancer.Deaths","Preterm.Births","Premature.Death","COVID.19.Vaccination..Adults","COVID.19.Vaccination..Seniors"
"18","Kansas City",2938000,96.7167788,24.11052961,913.8643959,74.29481898,11.80560024,6.611648075,60.8,69.79214781,12.65566325,154.986058,20.18195762,36.27849241,223.9936279,176.2461231,30.6,11.4,36.8,27.2,49,9.318392864,1.1,2.835330815,499.9,892.6,30.9,63.8,527.6,28.39598197,6.964970296,9.940327819,23.05786014,15.32557513,18.3,30.54133934,19.8,16.7,18.16017292,28.45267635,71.10617209,38.26438647,14.6751725,1.798916127,0.895535646,1476.749873,30.07769265,12.5489707,53.26619328,0.877363368,44.58781362,35.24744307,16.10457183,34.70581587,24.28570128,32348,53.38077067,12.77119928,4.804289908,37.9838333,24.18713979,0.013803379,0.4734,48.29913096,59.96479209,35.4497732,43.54775635,63.2362916,1.986832162,0.151936589,10.33851964,2.614675949,81.49589208,25.88137232,36.86131387,1.459854015,11.87965932,1544.383899,23.06765569,12.8753053,44.83639115,87.62462761,0.390599139,7.063444775,8.190310935,57.30348777,16.75427955,15.97774245,13.54843698,19.16758965,11.22533827,10062.3785,63.4,82.7
"19","Philadelphia",4260000,94.58095736,27.48924569,1022.758672,73.6410054,8.14579483,3.533411661,57.9,67.32216557,16.70198419,165.4624263,22.93303493,36.86286236,274.8675058,214.1665539,33.3,12.7,30.3,30,45,13.61931642,3.9,2.188919914,1282.6,999.6,32.3,4.6,461,27.33618502,7.172614369,11.03203755,21.12764226,57.73979669,18.7,72.0608604,20.3,17.7,10.58829583,53.21667862,97.76176325,33.59216226,10.02316519,0.554121875,0.545930613,721.09846675,31.79016495,12.33592242,53.02717112,0.88582566,51.41240317,29.68839809,24.34264305,44.75772125,34.83700904,27924,46.73169953,26.92799545,9.171527592,40.64719664,31.3516381,-0.099674559,0.5182,60.28536632,72.03831284,43.54345504,59.25779326,22.97037831,8.531717644,2.123366669,30.07398514,24.87933426,50.28177239,54.43387872,38.68613139,4.01459854,15.75090174,11775.22671,21.88376106,13.44293336,65.52196697,76.79326213,2.206773188,10.53308903,14.09470734,78.04401846,20.74902378,22.93543744,14.33006416,26.49164878,11.34360389,10961.92253,74.2,87.9
"20","Baltimore",2404000,92.32139417,36.39586159,1151.025065,70.8002471,6.584296347,3.997631699,54.9,72.20702714,15.48132345,174.5851602,22.77063869,40.12025912,315.6284852,233.2959288,39.1,13.4,36.8,25.8,46,13.38547108,2.6,8.33162527,1984.7,1181.8,52.9,188.1,662.2,28.06820574,8.369302032,11.72333743,27.47429777,121.9067141,16.8,133.1874787,20.2,16.7,9.500532844,57.43876913,80.804475,44.17242579,9.98964377,1.231462386,-0.164091643,721.09846675,45.09445895,18.7498301,47.50288563,1.105135271,51.72727273,31.91120721,21.20510343,40.27752926,31.03015685,31271,50.29985446,25.01045518,8.290153749,36.79865284,30.83524315,-0.042326737,0.5145,59.52001091,66.96541195,38.92559974,47.17135903,45.26728647,6.437839797,0.938745922,28.90019907,17.48604567,60.16455237,43.14312566,18.63799283,0,15.6681276,7524.141784,20.65950558,13.58237334,72.50883369,90.14198918,0.580202922,4.137564411,8.142100908,75.01139991,11.17191062,15.37808787,17.57635968,29.09694277,13.0758715,14584.67323,69.8,79.1
"21","Milwaukee",5553000,90.33383593,37.80647197,1149.270258,71.1325603,9.315152574,3.291029674,59.6,73.33040697,12.97329009,188.4966774,18.9387275,44.42633607,302.2062667,231.1228735,32.4,11.2,40.6,27,50,12.4389619,1.1,2.249593177,400.8,1137,23.9,0,563.8,15.64238042,10.31685904,12.63661606,28.49342724,66.09912427,24,78.12282287,21.8,16.1,13.57589431,48.31104611,131.9815555,35.15966535,15.65338542,0.630731245,0.497854207,1586.45087,32.07771726,10.97258981,41.39626053,1.415677134,50.1396492,24.60356145,25.42532673,49.88920314,36.67884897,23462,42.30592039,27.28718827,6.776337439,48.29995597,32.80773276,-0.164634093,0.4741,56.80117343,71.01098593,54.06602051,55.91385616,43.77886988,4.631176627,0.788065174,17.3861078,7.319173788,72.7714611,24.80685518,41.75824176,1.098901099,18.99637527,6185.332667,25.93180029,10.48325787,64.92781071,79.72089965,0.245602498,14.38827357,9.977831899,68.04123711,17.62886598,6.659602217,15.76305771,26.2215326,12.91028446,12971.01962,71.9,87.9
"22","Austin",4805000,82.3928679,18.08879811,744.7878882,78.35769489,13.60413741,8.94624538,59.5,82.37746044,8.378271846,124.2579645,19.16967278,22.76558023,193.1454467,143.6417901,22.2,7.2,28.6,19,52,8.79011496,2.5,1.445668615,467.7,622.2,20.8,50,320.8,17.02055232,3.837577927,7.354572226,19.58399436,10.37324121,21,18.95059859,13,15.1,13.2364675,5.344501043,56.62764735,11.10441044,10.47403962,0.657336347,4.765700562,491.3835752,5.675470391,8.340602305,45.13370418,1.215639107,53.79104725,51.71674407,13.23243911,29.15906175,17.95746326,43043,65.40384656,7.795116617,3.739109771,29.45890656,27.72429494,0.204239311,0.4841,36.4936174,50.98624736,38.90953101,44.20652416,53.41073629,2.40916599,1.285146331,6.187564407,3.489359195,73.74279764,33.13306414,31.45539906,0,8.52594166,3191.741886,20.36165068,8.939879492,51.71617373,68.07625346,1.387969433,22.92942587,18.8392597,38.74700718,11.89146049,19.07529381,11.85894543,15.47746336,9.175399679,5680.219323,75.8,86.6
"23","Columbus",3918000,82.11757335,26.5240137,938.9754468,74.78765058,8.969135611,5.365316922,62.3,74.19233127,11.72803214,142.7531653,18.80949878,30.93682152,238.1214117,182.6053,30.2,10.6,37.5,24.3,54,13.28491884,3.9,1.477391125,473.9,692.5,23.7,31.5,374.3,25.45688408,8.96458987,10.09389671,18.59042645,63.65911713,20.6,72.93417581,21.9,17.3,11.91060885,16.5697667,102.1910968,21.76272276,11.10388199,0.711397036,0.219656328,587.5539437,17.99230461,9.05206113,44.74950158,1.234661761,39.48476385,36.55944745,19.53755195,38.78358602,29.28837331,29322,53.55502789,14.72777268,5.49138325,36.57346682,25.73279048,-0.01081965,0.4431,42.45392035,54.81733292,40.35012825,38.2265025,60.1187379,3.076660638,0.597486271,8.874129164,3.085627306,79.38147486,24.68516769,31.02189781,0,13.87709729,4045.472822,22.46569074,10.21247438,44.86786796,84.2264857,1.105125662,4.263364139,12.71033165,69.05697446,21.16895874,10.89646364,11.07578149,17.32407108,11.54466301,10009.96613,71.7,89.3
"24","Charlotte",3712000,81.45428329,23.20275218,790.8104907,77.19493968,12.54781423,6.403848674,64.6,70.835326,7.860466261,132.0983624,19.71542326,26.03026006,193.3154268,134.1111136,29.5,9,30.6,20.5,52,8.739611658,3.1,2.499439855,656.7,840.4,26.5,26.9,389.3,14.93672261,5.361758143,9.800565264,20.42098085,16.4781155,16.3,21.59963967,15.6,13.8,10.31799828,5.466930455,46.85616104,16.89069299,10.51250395,0.291570691,0.069698909,782.1960468,11.57079449,8.066136307,52.90579949,0.890151949,47.6130978,44.31681407,12.82159092,30.89606049,18.57490137,38000,60.51314957,10.438541,5.015234298,34.75836512,25.33513322,0.135875372,0.4962,47.21143267,53.71064408,42.76809222,52.34058702,56.7278064,2.067070894,0.142027774,6.409072886,3.301089991,76.29847615,35.4641746,31.75182482,0.729927007,11.92435629,2880.373117,23.68160481,10.23296498,58.51975391,78.26771594,0.566079741,12.28165406,16.69230545,83.22942643,19.13965087,15.1777362,11.74449185,22.13780408,10.43242813,6881.479462,69.7,87.1
"25","New York City",3651000,81.03858525,19.75660616,723.7725494,81.3799223,7.541918833,2.376184247,60.5,78.03073636,10.81864142,109.0591154,16.13616587,19.06233371,225.7566009,185.5861367,28.1,10.5,24.9,28.5,41.74,18.51110825,5.341294198,3.232322787,483.9,656.7,26.92896882,17.30891865,126.399953,20.4158424,3.774593442,8.743640415,9.525483146,21.26714049,15.9,25.68647025,14.2,14.4,5.992149929,50.53316498,37.44261473,4.379805801,4.035087274,0.207855365,0.405431779,577.7930328,5.467944782,9.363842314,32.66895777,2.061009803,62.8876869,38.09936119,17.94788847,36.0343316,25.12955351,39828,58.64247116,20.36883721,6.302806591,37.74907763,36.84122116,0.098885898,0.5492,59.30475957,79.29965953,52.16231316,62.70153454,2.690364436,9.981791681,1.262925822,54.64747142,56.00796664,22.25301324,59.79117253,18.24817518,2.554744526,11.96851692,27819.27329,20.83954326,14.51741448,67.9037347,51.49736264,6.240201566,24.06248393,36.82672084,79.83783021,30.71475309,89.87969233,10.65235584,14.31429296,9.472594135,6089.866303,84.55157617,82.88908588
"26","Chicago",1714000,76.20756521,27.01493051,857.0376757,76.77240596,9.647837981,3.385647418,58.6,74.70685266,10.49114098,139.0365876,20.68244856,28.35897989,244.8598829,180.034952,30,10.7,31.6,27.7,50,14.24157146,2.6,2.224488464,599.8,711.6,21.4,31.4,341.4,18.05233372,6.39583527,9.379596203,16.14864536,39.7008865,14.3,46.0869053,14.9,12.9,8.51816187,51.12528305,67.01244573,27.31521466,9.221174339,0.692000912,1.26439354,986.8955947,25.9260983,12.15537898,44.99324634,1.222555786,57.88672841,39.47904556,18.38964731,37.89837983,26.83564715,37103,55.74295412,19.06425491,8.061844435,37.31210756,31.76263487,0.05143186,0.5315,58.85044375,81.45294799,43.2339589,59.77811657,24.63796178,6.530898295,1.707568055,26.9089048,28.22154423,48.84311587,60.24464785,58.36065574,6.557377049,11.653414,11902.99191,20.90126937,12.43641896,66.71866823,63.97836902,1.890859349,24.12399915,20.63967457,79.81447124,21.03896104,10.37604457,14.00268349,21.20232384,10.64096563,9165.30808,76.9,83.1
"27","San Diego",666000,71.45300782,23.5526669,671.4725942,80.11531738,7.836618623,3.607276342,66.4,87.37989104,9.170717281,128.9972997,19.54101522,20.95596103,197.1169851,132.1429968,25.5,8.1,26.9,19.5,42,5.670056701,5.8,1.481107357,472.9,548.1,16.7,35.1,183.2,5.199790118,3.669792786,7.043412435,6.774318746,19.11211529,19.2,26.98492117,10.6,14.2,10.23509786,10.97430417,46.24340938,5.879765593,6.791500765,1.064152052,3.570709966,376.6711996,3.922887964,7.109955328,46.8190236,1.135883927,54.88270757,45.93732255,12.83766124,28.49814435,15.69690182,41112,68.42369676,7.321998503,5.837170528,32.53426006,33.40301036,0.248628788,0.4707,43.94421722,54.65456921,46.97006542,53.8723706,32.99915428,3.082829864,0.844367393,6.371015406,3.963854957,74.72300009,31.24190818,57.65765766,0.900900901,8.787580283,4334.637795,19.89794072,12.63985618,57.24308,59.51067485,2.760844937,22.88060424,26.12436532,33.79156847,10.26446714,19.43154636,11.31519564,22.2486994,8.644982881,4974.083604,65.3,69.3
"28","Washington",1150000,68.096357,24.1482567,860.8869118,75.07529371,3.687998734,1.972098023,65.9,73.30895795,11.67302352,142.5940078,20.4312212,25.98804597,250.8970974,189.5488569,28.5,7.7,23.9,17.4,41,11.23754048,2.7,8.370643892,2260.4,908.7,35,0,549.6,30.57828941,6.037236973,9.569978328,14.34515149,46.09426372,21.6,61.48653168,13.1,15.3,6.237446351,45.7864812,83.37538326,22.16440195,6.548845168,1.443661819,2.286428349,957.8909564,25.42763238,9.769144859,41.62195045,1.402578421,78.73234701,58.54070704,16.24130634,28.28737138,23.99685802,56147,67.41330445,14.2070988,6.908195377,21.26244789,27.68033588,0.256183497,0.5269,54.77743637,66.61472618,22.2436833,39.36643146,35.16094146,13.36814286,4.47432619,35.86709613,34.69709291,33.51879394,50.74057522,36.49635036,3.649635036,10.51950518,11346.45146,17.89130093,12.07911844,63.42150739,82.79468781,0.779750572,9.038312774,13.72417109,92.06896552,22.44514107,45.15416556,14.3240062,29.75675295,9.958340467,8565.968675,73.6,86
"29","San Jose",668000,62.4333288,27.69315986,584.9968356,81.61725406,5.166267884,2.091621533,62.8,89.00638278,8.64622296,115.8976464,13.63510126,20.43084174,163.5776487,104.4939629,23,8.8,22.4,20.3,52,8.347610252,8,0.517860618,212.7,230.4,18.4,17.4,118.2,23.1652607,3.359718558,7.535902175,7.624653045,10.05065303,17.6,20.26819871,9.8,12.7,8.280709809,8.225482927,41.05708965,4.772658499,9.097262616,0.608160048,-0.472815027,424.9462382,3.48872141,3.957058749,56.78008329,0.761180932,56.76254935,43.7381716,8.717537735,20.96189587,9.325867369,46599,76.88380076,7.163025892,4.720685792,34.84797294,29.55455625,0.431614757,0.4505,41.78700719,40.99427577,47.95168848,47.91715333,31.92225428,1.804466111,0.780356503,5.226474406,4.466689001,75.76870795,48.86132047,37.95620438,2.189781022,9.232146263,5821.732773,22.43847853,12.51457151,74.27492726,42.76623028,7.551030774,22.4928291,39.74087517,57.30348777,7.610619469,20.15592151,10.86435889,14.74553886,9.524486797,4476.117535,91.3,94
"30","Denver",820000,61.94934214,22.74134724,805.125554,78.23765128,9.327219093,4.176419607,64.4,81.19962199,9.590749137,129.37163,19.79632685,19.41346066,180.7949069,131.4970184,22.8,7.6,21.5,15.7,50,5.293603237,1.5,1.67245105,866.2,817.2,32.3,0,420.4,11.07495187,4.718189582,9.717324074,18.8404556,29.92196385,21.5,41.70618119,14.2,14.1,19.83449423,25.44596649,75.84443815,15.1792668,10.56917553,1.240121546,1.010815078,931.7638667,9.946098398,6.283783574,49.87777818,1.004900852,55.70900123,49.43780248,12.86170527,29.45707262,18.20298659,43770,63.55766648,8.974099588,3.751122177,31.71701746,27.38929556,0.165793812,0.4909,46.40559629,55.14565073,37.33253856,54.01592332,48.13984142,4.682015933,2.227179952,9.843416771,6.539476416,69.12411938,38.83289921,57.24381625,10.9540636,8.757848233,4611.60261,19.79758382,11.54914566,45.82752248,74.45914423,0.481481593,19.1509266,14.97471569,40.82568807,13.97444299,78.70765727,12.57097429,25.40827506,9.345134666,7485.078622,80.9,84.6
"31","Minneapolis",2743000,54.56138211,24.10417078,828.1514441,76.87857864,6.561791927,3.406309868,63.1,76.31734754,11.19162602,145.4503206,20.47011127,30.69053153,168.9503112,109.2764973,23.1,7.2,29.1,18.4,58,5.95346876,3.5,1.522339446,429.3,581.9,15,12.1,345.5,20.17930756,6.382978723,8.676023162,13.09844717,39.00007667,21.8,52.83481496,15.7,15.2,11.23473639,51.11239941,85.93479979,15.13477878,7.731903935,0.892168898,2.651589223,1280.837836,13.40830524,5.873405064,47.23914247,1.116888554,55.43849381,50.44611018,19.14397291,36.18799123,25.52384259,38808,58.4159255,15.1609841,5.079552197,30.6302972,26.88247991,0.083791969,0.4986,42.21058544,52.60619768,46.45501774,47.11828393,31.09384599,7.409584428,4.046553418,16.82450529,13.15066883,60.51860373,25.88281001,32.41758242,0,9.282719496,7787.684386,19.81852095,9.992053749,40.00342593,77.9558333,0.965112936,7.935146853,15.60201178,77.14004592,28.36995736,32.76172037,10.81951912,23.17008467,10.21209741,7975.399806,80.4,92.6
"32","Boston",2507000,52.47945078,21.89698211,699.4975623,79.29853812,3.542965418,1.30700618,66,83.91150963,11.91606858,122.6076774,14.21316742,24.66117144,155.6793367,111.866807,22.8,7.7,21.9,20.4,48,9.880514117,3.2,1.618373222,808.9,697,20.6,0,272.9,10.96659575,4.444567138,7.911208151,5.614706372,36.69550217,19.6,43.4402567,13.1,15.5,5.770148671,55.43207277,56.12380721,5.651879103,4.1014944,0.8871602505,1.0156888815,551.2530542,5.648704396,8.456004728,35.0271963,1.854924475,61.133663,49.73373437,18.9142435,33.55281819,27.66536494,44690,61.16420923,18.27717218,6.629455878,30.31057951,32.85446086,0.136942439,0.5393,49.50955198,71.03072484,38.1249839,53.03137544,16.36890842,15.11245866,2.267322531,34.22169619,33.28600292,38.27491319,50.76531502,18.44262295,1.229508197,10.96533864,14176.01777,15.9272859,11.52300114,55.50360254,62.27923323,4.263310632,16.79720077,28.30083915,65.52005217,38.4740789,84.23782182,9.343265362,23.17349519,8.927007299,5771.981356,76.5,82.2
"33","Portland",4159000,52.3401696,31.0126796,918.1289579,75.51660585,6.447626107,2.83727284,68.3,82.82331122,12.12827215,167.1644283,21.24139036,30.0927189,240.5435635,166.2129045,25.1,7.7,25.3,15.4,44,7.699138276,2.9,3.014635008,465.2,540.6,34.7,55.1,320.7,14.27260679,3.706389493,7.057067728,9.425070688,25.19279713,20.7,43.76644193,14.7,15.2,18.66237322,36.53383071,74.08564225,14.09922721,9.625503852,0.581133163,2.889157632,720.2528788,8.55609301,6.491237838,53.38384477,0.873225887,61.82898366,50.4429102,13.72349357,28.69532494,15.50966647,41310,63.94286948,15.94608474,4.808674575,30.91122269,28.72676933,0.167045006,0.4726,24.26821629,41.04914041,32.91425524,29.01281951,35.34732254,5.797064799,5.989260636,14.18550302,12.94652516,57.32297049,33.50212005,11.04972376,0,7.868843918,4836.299767,17.82374154,12.78492959,29.43958617,81.11390723,1.830114339,6.751870202,13.49484186,31.51210161,5.559549485,26.28082091,13.71568281,24.29770792,8.685763025,7386.223781,84.4,95
"34","Oakland",653000,47.43313439,24.0639779,710.695821,79.46976151,7.895874732,4.172903139,57.6,88.4323641,11.6634099,128.8742596,17.70243188,21.14224631,197.8775449,125.1424562,29,10.6,29.3,20.9,46,9.583478232,6.3,3.366816175,424.6,435,12.8,5.1,209,23.1652607,4.204372547,7.744779095,13.76394386,16.46746506,15.8,32.91643173,12.6,14.6,10.78797193,47.93825736,53.71521867,20.89579675,9.261349235,0.882151603,3.79750681,1290.866203,20.76183547,6.278707444,40.74461732,1.454311921,57.92589763,44.03568639,16.74285565,34.44138525,24.77476934,43191,63.10407034,10.91374778,6.073242917,35.75929959,34.47072079,0.178593637,0.5113,46.44172824,49.30660101,41.27792613,62.25695615,32.51281903,3.678112723,2.661276355,16.06092883,23.50756132,50.90699434,41.67136705,40.1459854,2.919708029,10.96361879,7620.164999,19.87169987,13.10642042,71.71821961,59.91536506,6.975103974,21.80604743,26.80141238,68.21924542,3.797468354,31.83295824,12.70477361,20.80595212,8.754067387,6995.569695,85.5,92.3
"35","San Francisco",667000,30.83447322,14.56656588,582.4145431,81.66295088,3.663377592,1.54431209,65.3,90.0551411,10.18816967,114.4113174,14.92571577,21.19803216,169.1013032,121.7892119,24.3,8.8,19.2,17.2,45,6.440029923,6.8,3.765458671,1515,656.7,57.3,0,470.4,23.1652607,2.979551626,7.029186264,4.703526127,45.45700668,18,57.21987993,9.3,12.3,7.934587806,55.86332237,71.78365483,5.180679375,4.361386153,0.571454042,8.212477851,544.0639627,5.00020591,8.913255508,37.59831546,1.659693627,74.41134752,58.06106453,10.33599231,21.24410379,9.963959593,68883,73.35478565,5.960745569,4.215603221,24.41790942,26.15039437,0.389591394,0.5099,34.7084235,52.56458985,39.89152907,43.09574226,10.63036177,11.76571601,3.955078983,30.85242608,34.76734543,32.09198856,52.93541777,14.23357664,0,4.85078128,18666.71363,13.43442736,15.42708761,59.49270882,57.14815812,18.21492055,10.72376335,34.28324234,64.98030527,4.49286066,57.65350245,10.0120374,16.34815903,7.811795037,5274.160063,85.2,88.5
"36","Seattle",5363000,22.34744277,19.91973505,624.6340127,80.82771402,4.159929872,1.414623748,73.1,87.85054175,9.191445547,122.4973254,17.89944346,21.09052517,169.8237276,123.1383526,24.2,6.1,20.8,12.6,54,5.035346948,4,1.293805872,365.7,376.2,14.9,0,193.4,23.1652607,3.885900938,6.616775341,2.502713786,21.53127226,19.6,30.56889681,9.2,13,12.17040649,33.47485718,53.7828898,7.315515367,4.858730549,0.517737693,-0.540627041,745.0342685,3.830743514,6.386628112,45.72198315,1.187131728,69.29940032,64.04824359,10.96332798,20.59164602,10.89893394,59835,71.6558782,8.866126641,4.094274158,22.26938371,26.45764775,0.326851216,0.4863,32.9569268,54.92252742,36.21904471,28.98168185,27.53257637,11.28165292,3.527972941,17.7867983,22.57024157,46.48462696,40.57971014,17.03296703,1.098901099,5.137778903,8628.573479,15.03744969,12.41742084,36.15590117,78.69124306,4.365422192,4.094938801,18.77924355,51.85090631,18.56012254,40.00463106,11.11755664,18.44680402,8.152658153,4855.805797,86.1,92
