Metro Area,2020,2021,2022,2023
".New York-Newark, NY-NJ-CT-PA CSA","22,334,953","22,080,505","21,921,290","21,859,598"
".Los Angeles-Long Beach, CA CSA","18,628,302","18,456,030","18,372,157","18,316,743"
".Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA","10,009,724","10,018,828","10,023,646","10,069,592"
".Chicago-Naperville, IL-IN-WI CSA","9,972,177","9,891,836","9,811,445","9,794,558"
".San Jose-San Francisco-Oakland, CA CSA","9,212,896","9,043,312","9,007,337","9,001,024"
".Boston-Worcester-Providence, MA-RI-NH CSA","8,335,274","8,321,481","8,320,220","8,345,067"
".Dallas-Fort Worth, TX-OK CSA","8,188,973","8,307,992","8,491,484","8,654,750"
".Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA","7,375,906","7,390,817","7,384,211","7,390,919"
".Houston-Pasadena, TX CSA","7,358,931","7,437,420","7,564,372","7,706,626"
".Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","6,993,865","7,043,949","7,137,567","7,221,137"
".Miami-Port St. Lucie-Fort Lauderdale, FL CSA","6,906,422","6,899,321","6,949,943","7,011,936"
".Detroit-Warren-Ann Arbor, MI CSA","5,417,080","5,393,557","5,370,578","5,361,927"
".Seattle-Tacoma, WA CSA","4,965,112","4,961,650","4,980,226","4,993,725"
".Phoenix-Mesa, AZ CSA","4,928,597","5,001,980","5,074,792","5,124,113"
".Orlando-Lakeland-Deltona, FL CSA","4,212,743","4,276,770","4,402,589","4,509,624"
".Minneapolis-St. Paul, MN-WI CSA","4,082,768","4,086,652","4,083,144","4,104,786"
".Cleveland-Akron-Canton, OH CSA","3,766,841","3,745,135","3,734,089","3,732,803"
".Denver-Aurora-Greeley, CO CSA","3,632,515","3,644,997","3,663,795","3,691,404"
".Portland-Vancouver-Salem, OR-WA CSA","3,287,675","3,293,401","3,285,587","3,286,669"
".Charlotte-Concord, NC-SC CSA","3,242,251","3,281,600","3,332,098","3,387,115"
".St. Louis-St. Charles-Farmington, MO-IL CSA","2,923,307","2,916,976","2,904,056","2,900,730"
".Pittsburgh-Weirton-Steubenville, PA-OH-WV CSA","2,765,716","2,759,512","2,738,954","2,727,866"
".Salt Lake City-Provo-Orem, UT-ID CSA","2,714,949","2,751,715","2,779,891","2,805,734"
".Sacramento-Roseville, CA CSA","2,683,731","2,694,598","2,702,582","2,706,315"
".New Haven-Hartford-Waterbury, CT CSA","2,634,831","2,653,681","2,658,724","2,665,618"
".San Antonio-New Braunfels-Kerrville, TX CSA","2,647,967","2,685,568","2,737,213","2,785,647"
".Columbus-Marion-Zanesville, OH CSA","2,609,510","2,610,332","2,626,328","2,646,917"
".Indianapolis-Carmel-Muncie, IN CSA","2,602,700","2,618,667","2,632,422","2,651,953"
".Kansas City-Overland Park-Kansas City, MO-KS CSA","2,532,004","2,540,044","2,544,942","2,557,474"
".Las Vegas-Henderson, NV CSA","2,326,850","2,348,634","2,377,304","2,392,293"
".Cincinnati-Wilmington, OH-KY-IN CSA","2,294,002","2,294,742","2,300,515","2,313,417"
".Nashville-Davidson--Murfreesboro, TN CSA","2,258,239","2,273,210","2,314,956","2,350,738"
".Raleigh-Durham-Cary, NC CSA","2,242,206","2,289,005","2,329,082","2,368,947"
".Milwaukee-Racine-Waukesha, WI CSA","2,052,928","2,039,509","2,034,852","2,036,833"
".Virginia Beach-Chesapeake, VA-NC CSA","1,859,328","1,864,252","1,864,545","1,866,723"
".Jacksonville-Kingsland-Palatka, FL-GA CSA","1,741,284","1,771,622","1,808,036","1,847,313"
".Greensboro--Winston-Salem--High Point, NC CSA","1,695,408","1,706,731","1,721,518","1,736,099"
".Greenville-Spartanburg-Anderson, SC CSA","1,515,982","1,532,676","1,561,447","1,590,636"
".Oklahoma City-Shawnee, OK CSA","1,502,499","1,516,875","1,533,308","1,551,717"
".Louisville/Jefferson County--Elizabethtown, KY-IN CSA","1,488,657","1,488,329","1,488,193","1,493,133"
".Grand Rapids-Wyoming, MI CSA","1,486,745","1,491,195","1,494,896","1,502,552"
".Memphis-Clarksdale-Forrest City, TN-MS-AR CSA","1,390,417","1,386,073","1,381,304","1,377,852"
".New Orleans-Metairie-Slidell, LA-MS CSA","1,371,849","1,365,312","1,348,796","1,340,591"
".Birmingham-Cullman-Talladega, AL CSA","1,361,822","1,362,337","1,362,504","1,367,706"
".Fresno-Hanford-Corcoran, CA CSA","1,318,741","1,324,844","1,328,675","1,332,702"
".Harrisburg-York-Lebanon, PA CSA","1,296,589","1,308,360","1,314,242","1,321,695"
".Buffalo-Cheektowaga-Olean, NY CSA","1,241,442","1,241,170","1,234,940","1,231,204"
".Albany-Schenectady, NY CSA","1,190,423","1,195,607","1,192,529","1,192,181"
".Cape Coral-Fort Myers-Naples, FL CSA","1,194,658","1,230,595","1,273,761","1,295,002"
".Albuquerque-Santa Fe-Los Alamos, NM CSA","1,163,633","1,165,742","1,166,212","1,168,363"
".Rochester-Batavia-Seneca Falls, NY CSA","1,154,659","1,152,132","1,144,813","1,141,965"
".Knoxville-Morristown-Sevierville, TN CSA","1,159,961","1,172,121","1,190,403","1,207,137"
".Tulsa-Bartlesville-Muskogee, OK CSA","1,136,211","1,144,983","1,153,593","1,165,140"
".Tucson-Nogales, AZ CSA","1,092,887","1,096,870","1,106,156","1,112,320"
".Dayton-Springfield-Kettering, OH CSA","1,088,878","1,087,869","1,085,399","1,086,998"
".El Paso-Las Cruces, TX-NM CSA","1,089,862","1,092,506","1,094,185","1,098,541"
".Columbia-Sumter-Orangeburg, SC CSA","1,057,298","1,063,441","1,073,464","1,084,112"
".North Port-Bradenton, FL CSA","1,059,937","1,091,619","1,129,623","1,152,221"
".Allentown-Bethlehem-East Stroudsburg, PA-NJ CSA","1,029,871","1,038,811","1,038,021","1,039,608"
".Omaha-Fremont, NE-IA CSA","1,006,262","1,009,876","1,013,354","1,021,156"
".Baton Rouge-Hammond, LA CSA","1,003,940","1,008,134","1,009,146","1,011,725"
".Chattanooga-Cleveland-Dalton, TN-GA-AL CSA","976,763","982,105","992,121","1,003,363"
".McAllen-Edinburg, TX CSA","938,723","945,723","953,939","964,405"
".Madison-Janesville-Beloit, WI CSA","911,444","910,677","916,440","924,543"
".Little Rock-North Little Rock, AR CSA","900,232","902,218","907,146","913,536"
".Des Moines-West Des Moines-Ames, IA CSA","892,121","902,611","909,740","917,964"
".Huntsville-Decatur-Albertville, AL-TN CSA","855,775","866,055","879,407","895,383"
".Boise City-Mountain Home-Ontario, ID-OR CSA","856,124","884,067","899,533","913,704"
".South Bend-Elkhart-Mishawaka, IN-MI CSA","811,641","810,616","810,409","809,876"
".Lexington-Fayette--Richmond--Frankfort, KY CSA","763,071","763,341","766,390","770,951"
".Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA","760,551","773,187","781,313","785,302"
".Syracuse-Auburn, NY CSA","735,703","732,704","729,700","727,441"
".Jackson-Vicksburg-Brookhaven, MS CSA","698,268","693,106","688,102","687,257"
".Springfield-Amherst Town-Northampton, MA CSA","681,850","696,981","694,271","693,629"
".Reno-Carson City-Gardnerville Ranchos, NV-CA CSA","686,271","695,059","697,488","699,307"
".Wichita-Arkansas City-Winfield, KS CSA","683,060","683,138","684,110","687,096"
".Fayetteville-Lumberton-Pinehurst, NC CSA","681,515","687,343","689,352","693,299"
".Portland-Lewiston-South Portland, ME CSA","663,752","671,034","676,384","680,094"
".Charleston-Huntington-Ashland, WV-OH-KY CSA","659,519","653,173","646,774","643,394"
".Mobile-Daphne-Fairhope, AL CSA","647,604","652,822","657,929","665,147"
".Fort Wayne-Huntington-Auburn, IN CSA","646,275","650,055","653,289","657,456"
".Savannah-Hinesville-Statesboro, GA CSA","607,744","614,924","629,025","640,193"
".Johnson City-Kingsport-Bristol, TN-VA CSA","585,570","586,426","592,555","598,800"
".Columbus-Auburn-Opelika, GA-AL CSA","564,698","564,078","563,969","566,030"
".Lafayette-New Iberia-Opelousas, LA CSA","560,582","562,049","562,640","563,411"
".Lansing-East Lansing-Owosso, MI CSA","541,030","527,587","539,950","541,202"
".Youngstown-Warren-Salem, OH CSA","531,332","529,453","527,217","526,151"
".Corpus Christi-Kingsville-Alice, TX CSA","523,084","524,056","522,647","523,902"
".Asheville-Waynesville-Brevard, NC CSA","502,829","506,622","509,957","513,720"
".Davenport-Moline, IA-IL CSA","473,338","470,796","468,089","467,817"
".Kalamazoo-Battle Creek-Portage, MI CSA","456,937","455,245","455,094","456,459"
".Cedar Rapids-Iowa City, IA CSA","452,219","453,566","455,088","455,756"
".Brownsville-Harlingen-Raymondville, TX CSA","441,628","442,928","445,165","446,747"
".Rockford-Freeport-Rochelle, IL CSA","434,454","432,032","429,511","428,494"
".Shreveport-Bossier City-Minden, LA CSA","429,394","424,868","420,470","418,533"
".Macon-Bibb County--Warner Robins, GA CSA","426,002","428,632","432,213","436,853"
".Montgomery-Selma, AL CSA","423,574","422,387","422,139","421,645"
".Appleton-Oshkosh-Neenah, WI CSA","415,266","414,483","415,669","418,168"
".Myrtle Beach-Conway, SC CSA","417,274","430,018","447,816","463,209"
".Tallahassee-Bainbridge, FL-GA CSA","414,984","417,461","419,932","421,732"
".Columbia-Jefferson City-Moberly, MO CSA","409,516","412,311","414,108","415,747"
".Gainesville-Lake City, FL CSA","410,418","414,293","420,166","425,189"
".Peoria-Canton, IL CSA","401,404","398,497","395,706","394,781"
".Lubbock-Plainview, TX CSA","390,002","392,886","393,994","396,955"
".Saginaw-Midland-Bay City, MI CSA","377,102","376,103","374,773","374,321"
".Green Bay-Shawano, WI CSA","373,703","374,035","375,610","377,217"
".Kennewick-Richland-Walla Walla, WA CSA","367,192","370,912","373,264","375,821"
".Lincoln-Beatrice, NE CSA","362,439","362,593","363,623","366,021"
".Midland-Odessa-Andrews, TX CSA","359,716","352,640","356,628","365,482"
".Erie-Meadville, PA CSA","354,385","352,466","351,245","349,572"
".Evansville-Henderson, IN-KY CSA","327,213","327,257","326,663","327,562"
".Duluth-Grand Rapids, MN-WI CSA","325,653","325,115","325,522","326,968"
".Rochester-Austin-Winona, MN CSA","316,282","317,547","317,653","318,856"
".Medford-Grants Pass, OR CSA","311,858","312,990","309,469","308,589"
".Champaign-Urbana-Danville, IL CSA","309,857","310,005","308,203","307,260"
".Springfield-Jacksonville-Lincoln, IL CSA","308,072","306,715","304,348","303,113"
".Lake Charles-DeRidder, LA CSA","290,919","279,049","275,737","276,909"
".Amarillo-Borger, TX CSA","289,598","290,242","290,811","292,428"
".Rocky Mount-Wilson-Roanoke Rapids, NC CSA","288,697","287,247","287,053","288,366"
".Burlington-South Burlington-Barre, VT CSA","285,474","287,229","287,681","288,084"
".Tyler-Jacksonville, TX CSA","284,692","288,332","293,427","297,426"
".Wausau-Stevens Point-Wisconsin Rapids, WI CSA","282,682","281,193","282,367","283,575"
".Lafayette-West Lafayette-Frankfort, IN CSA","281,715","282,709","283,340","284,211"
".Monroe-Ruston, LA CSA","275,003","272,854","270,611","269,847"
".Fargo-Wahpeton, ND-MN CSA","273,233","277,996","281,505","285,484"
".Idaho Falls-Rexburg-Blackfoot, ID CSA","272,845","279,543","284,525","287,460"
".Harrisonburg-Staunton-Stuarts Draft, VA CSA","261,145","262,074","263,242","264,994"
".Bloomsburg-Berwick-Sunbury, PA CSA","256,741","256,262","255,662","255,178"
".Bowling Green-Glasgow-Franklin, KY CSA","254,496","257,326","261,224","264,525"
".Dothan-Enterprise-Ozark, AL CSA","253,957","255,117","256,812","258,863"
".Redding-Red Bluff, CA CSA","247,689","247,581","246,236","245,262"
".State College-DuBois, PA CSA","238,411","236,319","235,357","234,885"
".Hattiesburg-Laurel, MS CSA","237,545","237,823","237,637","238,003"
".Joplin-Miami, MO-OK-KS CSA","231,130","232,330","233,466","235,074"
".Lima-Van Wert-Celina, OH CSA","220,055","219,215","218,271","218,031"
".Mansfield-Ashland-Bucyrus, OH CSA","219,449","219,306","218,794","218,783"
".Eau Claire-Menomonie, WI CSA","217,678","217,125","219,161","220,667"
".Pueblo-Cañon City, CO CSA","217,215","218,553","219,088","219,740"
".La Crosse-Onalaska-Sparta, WI-MN CSA","216,766","215,150","215,936","216,389"
".Greenville-Washington, NC CSA","215,084","216,697","218,010","219,600"
".Johnstown-Somerset, PA CSA","207,230","205,226","204,058","202,865"
".Bloomington-Pontiac, IL CSA","206,741","206,878","206,435","205,761"
".Bloomington-Bedford, IN CSA","205,919","206,756","206,339","205,958"
".Abilene-Sweetwater, TX CSA","191,604","192,436","194,125","195,897"
".New Bern-Morehead City, NC CSA","189,484","190,677","191,866","193,830"
".Florence-Muscle Shoals-Russellville, AL CSA","183,407","184,495","185,778","186,977"
".Salisbury-Ocean Pines, MD CSA","180,648","182,058","183,028","183,881"
".Jonesboro-Paragould, AR CSA","180,437","180,826","181,724","183,133"
".Elmira-Corning, NY CSA","176,977","176,126","174,146","173,487"
".Middlesborough-Corbin, KY CSA","173,906","173,361","173,045","172,880"
".Rapid City-Spearfish, SD CSA","173,644","176,976","181,269","184,027"
".Sioux City-Le Mars, IA-NE-SD CSA","170,018","169,638","169,459","170,124"
".Lawton-Duncan, OK CSA","169,482","170,876","171,290","171,015"
".Tupelo-Corinth, MS CSA","166,892","166,253","165,833","166,162"
".Altoona-Huntingdon, PA CSA","166,715","166,108","164,031","163,787"
".Ithaca-Cortland, NY CSA","146,513","152,379","150,380","149,310"
".Williamsport-Lock Haven, PA CSA","151,495","151,576","150,810","150,331"
".Parkersburg-Marietta-Vienna, WV-OH CSA","148,977","148,356","147,348","146,629"
".Cape Girardeau-Sikeston, MO-IL CSA","147,697","147,734","147,836","147,934"
".Fairmont-Clarksburg, WV CSA","146,555","145,721","144,658","144,514"
".Paducah-Mayfield, KY-IL CSA","139,969","139,593","139,015","138,728"
".Edwards-Rifle, CO CSA","134,806","135,218","134,321","133,728"
".Hot Springs-Malvern, AR CSA","133,333","133,472","133,131","133,042"
".Starkville-Columbus, MS CSA","130,617","130,058","128,999","128,388"
".Findlay-Tiffin, OH CSA","129,982","129,628","129,308","129,231"
".Mankato-New Ulm, MN CSA","129,612","129,627","129,708","129,876"
".Keene-Brattleboro, NH-VT CSA","122,407","122,996","123,362","123,669"
".Carbondale-Marion-Herrin, IL CSA","120,005","119,487","119,021","118,847"
".Moses Lake-Othello, WA CSA","120,048","121,074","122,478","123,498"
".Victoria-Port Lavaca, TX CSA","118,395","117,811","117,876","118,504"
".Quincy-Hannibal, IL-MO CSA","114,495","113,982","113,341","113,084"
".Mount Pleasant-Alma, MI CSA","106,201","105,534","105,470","105,486"
".Marinette-Iron Mountain, WI-MI CSA","95,809","95,587","95,840","95,715"
".Richmond-Connersville, IN CSA","89,866","89,816","89,605","89,489"
".Dixon-Sterling, IL CSA","89,627","89,497","88,493","88,152"
".Pullman-Moscow, WA-ID CSA","87,445","83,624","88,503","89,313"
".Burlington-Fort Madison, IA-IL CSA","78,691","78,069","77,239","76,906"
".Union City-Martin, TN CSA","63,678","63,342","63,417","63,495"
".Weatherford-Elk City, OK CSA","61,686","61,106","60,751","61,044"
".Brookings-Crescent City, OR-CA CSA","51,123","51,303","50,725","49,885"
".Spencer-Spirit Lake, IA CSA","34,103","34,322","34,555","34,567"
